InvoiceNo,Ref_WorkOrderID,ExportDate,DestinationCountry,CountryOfOrigin,Exporter_EORI,ProductID,ProductName,CN_Code,Quantity_pcs,NetWeight_kg,GrossWeight_kg,FOB_Value_USD
INV-EU-2024-00004,WO-2024-CS-00004,2024-01-07,Germany,Taiwan,TW2066252915,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,23030,6264.35,6724.95,30131
INV-EU-2024-00012,WO-2024-M12-00012,2024-01-07,Netherlands,Taiwan,TW2066967819,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,16983,1082.71,1167.63,7178
INV-EU-2024-00017,WO-2024-M12-00017,2024-01-07,Italy,Taiwan,TW2066628592,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,47899,3053.62,3293.11,19970
INV-EU-2024-00020,WO-2024-CS-00020,2024-01-08,France,Taiwan,TW2066326341,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,39131,10643.86,11426.48,50345
INV-EU-2024-00022,WO-2024-M10-00022,2024-01-08,Germany,Taiwan,TW2066290216,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,28188,479.2,503.16,3181
INV-EU-2024-00029,WO-2024-M10-00029,2024-01-08,Germany,Taiwan,TW2066684903,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,33040,561.69,589.77,4392
INV-EU-2024-00005,WO-2024-M12-00005,2024-01-09,France,Taiwan,TW2066781836,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,18206,1160.65,1251.68,7184
INV-EU-2024-00006,WO-2024-M12-00006,2024-01-09,Germany,Taiwan,TW2066576156,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,33456,2132.86,2300.14,7315
INV-EU-2024-00010,WO-2024-CS-00010,2024-01-09,France,Taiwan,TW2066489146,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,28455,7739.9,8309,60526
INV-EU-2024-00014,WO-2024-CS-00014,2024-01-09,Italy,Taiwan,TW2066409872,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,47188,12835.27,13779.03,98703
INV-EU-2024-00016,WO-2024-M12-00016,2024-01-09,Italy,Taiwan,TW2066581578,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,30802,1963.63,2117.64,9346
INV-EU-2024-00027,WO-2024-M10-00027,2024-01-09,Spain,Taiwan,TW2066104834,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,38332,651.65,684.23,3629
INV-EU-2024-00038,WO-2024-CS-00038,2024-01-09,Spain,Taiwan,TW2066927053,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,39018,10613.02,11393.38,33431
INV-EU-2024-00039,WO-2024-M10-00039,2024-01-09,Netherlands,Taiwan,TW2066824406,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,29779,506.25,531.56,3260
INV-EU-2024-00041,WO-2024-CS-00041,2024-01-09,Spain,Taiwan,TW2066767378,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,28664,7796.64,8369.92,40074
INV-EU-2024-00042,WO-2024-M10-00042,2024-01-09,Netherlands,Taiwan,TW2066546951,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,31310,532.28,558.89,3704
INV-EU-2024-00043,WO-2024-M10-00043,2024-01-09,Italy,Taiwan,TW2066443657,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,10026,170.45,178.97,729
INV-EU-2024-00046,WO-2024-M12-00046,2024-01-09,Italy,Taiwan,TW2066745912,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,24366,1553.39,1675.22,7409
INV-EU-2024-00007,WO-2024-M12-00007,2024-01-10,Germany,Taiwan,TW2066250632,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,26981,1720.06,1854.96,13227
INV-EU-2024-00015,WO-2024-M10-00015,2024-01-10,France,Taiwan,TW2066583447,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,16119,274.03,287.73,1901
INV-EU-2024-00028,WO-2024-CS-00028,2024-01-10,France,Taiwan,TW2066744903,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,35211,9577.52,10281.74,69915
INV-EU-2024-00035,WO-2024-M10-00035,2024-01-10,Netherlands,Taiwan,TW2066765298,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,45593,775.09,813.84,2937
INV-EU-2024-00045,WO-2024-CS-00045,2024-01-10,Netherlands,Taiwan,TW2066553097,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,47988,13052.74,14012.5,86931
INV-EU-2024-00052,WO-2024-M10-00052,2024-01-10,Italy,Taiwan,TW2066494107,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,32567,553.64,581.32,3360
INV-EU-2024-00062,WO-2024-M10-00062,2024-01-10,Netherlands,Taiwan,TW2066778803,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,21310,362.28,380.39,2746
INV-EU-2024-00002,WO-2024-M12-00002,2024-01-11,Germany,Taiwan,TW2066242680,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,12144,774.23,834.95,4653
INV-EU-2024-00008,WO-2024-M10-00008,2024-01-11,Netherlands,Taiwan,TW2066498570,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,35288,599.9,629.89,4049
INV-EU-2024-00018,WO-2024-M10-00018,2024-01-11,Germany,Taiwan,TW2066110102,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,11595,197.13,206.99,1488
INV-EU-2024-00024,WO-2024-M10-00024,2024-01-11,Spain,Taiwan,TW2066339468,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,19424,330.22,346.73,1050
INV-EU-2024-00030,WO-2024-M10-00030,2024-01-11,Netherlands,Taiwan,TW2066539420,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,23647,402.01,422.11,3159
INV-EU-2024-00044,WO-2024-CS-00044,2024-01-11,Spain,Taiwan,TW2066698066,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,40609,11045.78,11857.96,83285
INV-EU-2024-00071,WO-2024-M10-00071,2024-01-11,Netherlands,Taiwan,TW2066128376,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,32611,554.4,582.12,4063
INV-EU-2024-00076,WO-2024-M10-00076,2024-01-11,France,Taiwan,TW2066418380,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,47401,805.83,846.12,3747
INV-EU-2024-00077,WO-2024-M10-00077,2024-01-11,Netherlands,Taiwan,TW2066693161,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,40841,694.31,729.03,2673
INV-EU-2024-00003,WO-2024-CS-00003,2024-01-12,France,Taiwan,TW2066144951,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,13351,3631.67,3898.69,24876
INV-EU-2024-00009,WO-2024-M10-00009,2024-01-12,Netherlands,Taiwan,TW2066950239,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,28722,488.29,512.7,1723
INV-EU-2024-00023,WO-2024-CS-00023,2024-01-12,Italy,Taiwan,TW2066193442,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,20539,5586.79,5997.57,23799
INV-EU-2024-00031,WO-2024-M10-00031,2024-01-12,Italy,Taiwan,TW2066568333,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,24644,418.95,439.9,1684
INV-EU-2024-00034,WO-2024-M10-00034,2024-01-12,France,Taiwan,TW2066832373,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,13382,227.5,238.88,1089
INV-EU-2024-00040,WO-2024-CS-00040,2024-01-12,Italy,Taiwan,TW2066253869,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,32503,8840.85,9490.91,60736
INV-EU-2024-00049,WO-2024-M12-00049,2024-01-12,Italy,Taiwan,TW2066681131,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,41424,2640.81,2847.93,16901
INV-EU-2024-00053,WO-2024-CS-00053,2024-01-12,Spain,Taiwan,TW2066193376,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,19035,5177.77,5558.47,29513
INV-EU-2024-00059,WO-2024-M10-00059,2024-01-12,France,Taiwan,TW2066777606,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,41481,705.18,740.44,3582
INV-EU-2024-00066,WO-2024-M12-00066,2024-01-12,Germany,Taiwan,TW2066329073,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,15245,971.93,1048.15,6939
INV-EU-2024-00068,WO-2024-M12-00068,2024-01-12,Spain,Taiwan,TW2066263681,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,27278,1738.98,1875.37,11199
INV-EU-2024-00086,WO-2024-M10-00086,2024-01-12,Germany,Taiwan,TW2066474772,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,30820,523.94,550.14,2782
INV-EU-2024-00096,WO-2024-M10-00096,2024-01-12,Netherlands,Taiwan,TW2066470788,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,24482,416.2,437.01,3192
INV-EU-2024-00099,WO-2024-M10-00099,2024-01-12,Spain,Taiwan,TW2066755520,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,47629,809.7,850.19,6242
INV-EU-2024-00001,WO-2024-CS-00001,2024-01-13,France,Taiwan,TW2066382536,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,13180,3585.22,3848.82,24702
INV-EU-2024-00021,WO-2024-CS-00021,2024-01-13,Netherlands,Taiwan,TW2066158393,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,19792,5383.61,5779.45,28479
INV-EU-2024-00033,WO-2024-M10-00033,2024-01-13,Netherlands,Taiwan,TW2066485348,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,31755,539.84,566.83,3503
INV-EU-2024-00036,WO-2024-CS-00036,2024-01-13,France,Taiwan,TW2066149142,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,43178,11744.43,12607.99,48269
INV-EU-2024-00063,WO-2024-CS-00063,2024-01-13,France,Taiwan,TW2066292193,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,22715,6178.74,6633.04,43745
INV-EU-2024-00069,WO-2024-M10-00069,2024-01-13,Spain,Taiwan,TW2066673774,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,39694,674.81,708.55,2274
INV-EU-2024-00070,WO-2024-M10-00070,2024-01-13,Italy,Taiwan,TW2066781068,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,21366,363.23,381.39,2041
INV-EU-2024-00088,WO-2024-M12-00088,2024-01-13,Spain,Taiwan,TW2066869845,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,22984,1465.23,1580.15,11047
INV-EU-2024-00090,WO-2024-CS-00090,2024-01-13,Italy,Taiwan,TW2066744879,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,22734,6183.86,6638.54,32588
INV-EU-2024-00093,WO-2024-M12-00093,2024-01-13,Netherlands,Taiwan,TW2066561071,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,17362,1106.83,1193.64,3884
INV-EU-2024-00112,WO-2024-M12-00112,2024-01-13,Italy,Taiwan,TW2066852067,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,10186,649.38,700.31,3584
INV-EU-2024-00116,WO-2024-M10-00116,2024-01-13,Germany,Taiwan,TW2066256774,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,21561,366.55,384.88,2730
INV-EU-2024-00121,WO-2024-CS-00121,2024-01-13,Italy,Taiwan,TW2066509285,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,36976,10057.59,10797.11,78851
INV-EU-2024-00122,WO-2024-M12-00122,2024-01-13,Spain,Taiwan,TW2066161487,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,49015,3124.75,3369.82,24623
INV-EU-2024-00011,WO-2024-M10-00011,2024-01-14,France,Taiwan,TW2066852424,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,26218,445.72,468.01,2019
INV-EU-2024-00013,WO-2024-CS-00013,2024-01-14,France,Taiwan,TW2066456859,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,37691,10252.06,11005.88,34549
INV-EU-2024-00019,WO-2024-M10-00019,2024-01-14,France,Taiwan,TW2066883816,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,32117,545.99,573.29,3439
INV-EU-2024-00025,WO-2024-CS-00025,2024-01-14,Germany,Taiwan,TW2066119848,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,45455,12363.93,13273.03,94213
INV-EU-2024-00026,WO-2024-M12-00026,2024-01-14,Germany,Taiwan,TW2066307091,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,33024,2105.33,2270.45,16611
INV-EU-2024-00032,WO-2024-CS-00032,2024-01-14,Spain,Taiwan,TW2066106592,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,47934,13038.17,13996.85,58671
INV-EU-2024-00037,WO-2024-M12-00037,2024-01-14,Spain,Taiwan,TW2066600396,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,35719,2277.11,2455.7,9882
INV-EU-2024-00058,WO-2024-CS-00058,2024-01-14,Italy,Taiwan,TW2066789052,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,33698,9166.06,9840.02,33089
INV-EU-2024-00091,WO-2024-M12-00091,2024-01-14,Germany,Taiwan,TW2066893502,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,33664,2146.11,2314.43,8927
INV-EU-2024-00095,WO-2024-M10-00095,2024-01-14,France,Taiwan,TW2066626733,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,25255,429.35,450.82,2000
INV-EU-2024-00106,WO-2024-M12-00106,2024-01-14,Italy,Taiwan,TW2066771394,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,24818,1582.15,1706.24,10458
INV-EU-2024-00108,WO-2024-M12-00108,2024-01-14,France,Taiwan,TW2066157138,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,17850,1137.94,1227.19,7521
INV-EU-2024-00109,WO-2024-M12-00109,2024-01-14,France,Taiwan,TW2066552832,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,42421,2704.39,2916.49,18281
INV-EU-2024-00118,WO-2024-CS-00118,2024-01-14,France,Taiwan,TW2066489745,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,21433,5829.88,6258.54,39235
INV-EU-2024-00119,WO-2024-CS-00119,2024-01-14,Netherlands,Taiwan,TW2066376506,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,43971,11960.3,12839.72,77502
INV-EU-2024-00048,WO-2024-M10-00048,2024-01-15,Netherlands,Taiwan,TW2066568047,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,21655,368.15,386.56,2359
INV-EU-2024-00050,WO-2024-M12-00050,2024-01-15,Spain,Taiwan,TW2066151797,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,39258,2502.71,2699,16968
INV-EU-2024-00055,WO-2024-CS-00055,2024-01-15,Spain,Taiwan,TW2066221953,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,12594,3425.83,3677.71,11545
INV-EU-2024-00057,WO-2024-CS-00057,2024-01-15,Germany,Taiwan,TW2066773698,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,38684,10522.22,11295.9,74286
INV-EU-2024-00064,WO-2024-M10-00064,2024-01-15,Germany,Taiwan,TW2066203001,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,15457,262.77,275.91,1965
INV-EU-2024-00101,WO-2024-M12-00101,2024-01-15,France,Taiwan,TW2066845997,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,16625,1059.9,1143.03,5553
INV-EU-2024-00110,WO-2024-CS-00110,2024-01-15,France,Taiwan,TW2066488091,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,18186,4946.78,5310.5,33143
INV-EU-2024-00131,WO-2024-M12-00131,2024-01-15,Italy,Taiwan,TW2066804467,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,39721,2532.24,2730.84,20232
INV-EU-2024-00133,WO-2024-M12-00133,2024-01-15,Germany,Taiwan,TW2066929179,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,24586,1567.38,1690.31,6363
INV-EU-2024-00139,WO-2024-CS-00139,2024-01-15,France,Taiwan,TW2066972040,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,28984,7883.67,8463.35,34766
INV-EU-2024-00140,WO-2024-CS-00140,2024-01-15,Italy,Taiwan,TW2066668294,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,40221,10940.21,11744.63,60280
INV-EU-2024-00142,WO-2024-M12-00142,2024-01-15,Netherlands,Taiwan,TW2066353915,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,35548,2266.23,2443.97,8611
INV-EU-2024-00144,WO-2024-M10-00144,2024-01-15,France,Taiwan,TW2066634392,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,17471,297.02,311.87,1615
INV-EU-2024-00146,WO-2024-M12-00146,2024-01-15,France,Taiwan,TW2066800298,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,22667,1445.08,1558.41,10390
INV-EU-2024-00158,WO-2024-M10-00158,2024-01-15,Netherlands,Taiwan,TW2066132212,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,46711,794.1,833.81,4137
INV-EU-2024-00164,WO-2024-CS-00164,2024-01-15,Spain,Taiwan,TW2066354723,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,11884,3232.68,3470.36,17133
INV-EU-2024-00047,WO-2024-CS-00047,2024-01-16,Italy,Taiwan,TW2066274537,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,18754,5101.35,5476.43,38158
INV-EU-2024-00051,WO-2024-CS-00051,2024-01-16,Germany,Taiwan,TW2066966682,P-CS-BS-003,底盤懸吊臂襯套軸套,73269098,38425,10451.75,11220.25,71280
INV-EU-2024-00060,WO-2024-M12-00060,2024-01-16,Spain,Taiwan,TW2066628487,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,25679,1637.1,1765.49,7939
INV-EU-2024-00061,WO-2024-M12-00061,2024-01-16,France,Taiwan,TW2066838143,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,20985,1337.82,1442.74,7919
INV-EU-2024-00065,WO-2024-M12-00065,2024-01-16,Spain,Taiwan,TW2066763697,P-M12-EH-001,高強度引擎汽缸頭螺栓 M12,73181595,48144,3069.23,3309.95,12767
INV-EU-2024-00067,WO-2024-M10-00067,2024-01-16,Italy,Taiwan,TW2066172139,P-M10-BN-002,電動車電池模組固定螺母 M10,73181699,12819,217.94,228.84,913
