WorkOrderID,Timestamp,ProductID,ProcessStep,MachineID,InputWeight_kg,GoodWeight_kg,ScrapWeight_kg,DurationHrs,EnergyConsumed_kWh,LossRateAssumed
WO-2024-CS-00001,2023-12-31,P-CS-BS-003,盤元進料/酸洗,盤元-M3,3790.2,3771.25,18.95,1.8,59.98,0.005
WO-2024-CS-00001,2023-12-31,P-CS-BS-003,抽線,抽線-M2,3771.25,3714.68,56.57,30.7,359.9,0.015
WO-2024-CS-00001,2023-12-31,P-CS-BS-003,成型,成型-M5,3714.68,3603.24,111.44,13.2,539.86,0.03
WO-2024-CS-00001,2023-12-31,P-CS-BS-003,檢測與包裝,檢測-M2,3603.24,3585.22,18.02,14.7,239.94,0.005
WO-2024-M12-00002,2023-12-31,P-M12-EH-001,盤元進料/酸洗,盤元-M4,818.5,814.41,4.09,0.2,11.67,0.005
WO-2024-M12-00002,2023-12-31,P-M12-EH-001,抽線,抽線-M3,814.41,802.19,12.22,3.1,70.05,0.015
WO-2024-M12-00002,2023-12-31,P-M12-EH-001,成型,成型-M2,802.19,778.12,24.07,3,105.07,0.03
WO-2024-M12-00002,2023-12-31,P-M12-EH-001,檢測與包裝,檢測-M4,778.12,774.23,3.89,3.7,46.7,0.005
WO-2024-CS-00003,2023-12-31,P-CS-BS-003,盤元進料/酸洗,盤元-M4,3839.3,3820.1,19.2,1.3,60.76,0.005
WO-2024-CS-00003,2023-12-31,P-CS-BS-003,抽線,抽線-M5,3820.1,3762.8,57.3,28.8,364.57,0.015
WO-2024-CS-00003,2023-12-31,P-CS-BS-003,成型,成型-M4,3762.8,3649.92,112.88,45.6,546.85,0.03
WO-2024-CS-00003,2023-12-31,P-CS-BS-003,檢測與包裝,檢測-M2,3649.92,3631.67,18.25,9.7,243.05,0.005
WO-2024-CS-00004,2023-12-31,P-CS-BS-003,盤元進料/酸洗,盤元-M2,6622.5,6589.39,33.11,5.1,104.81,0.005
WO-2024-CS-00004,2023-12-31,P-CS-BS-003,抽線,抽線-M4,6589.39,6490.55,98.84,13,628.85,0.015
WO-2024-CS-00004,2023-12-31,P-CS-BS-003,成型,成型-M4,6490.55,6295.83,194.72,53.7,943.27,0.03
WO-2024-CS-00004,2023-12-31,P-CS-BS-003,檢測與包裝,檢測-M3,6295.83,6264.35,31.48,10,419.23,0.005
WO-2024-M12-00005,2023-12-31,P-M12-EH-001,盤元進料/酸洗,盤元-M4,1227,1220.87,6.13,0.4,17.5,0.005
WO-2024-M12-00005,2023-12-31,P-M12-EH-001,抽線,抽線-M2,1220.87,1202.56,18.31,2.8,105.01,0.015
WO-2024-M12-00005,2023-12-31,P-M12-EH-001,成型,成型-M1,1202.56,1166.48,36.08,4.2,157.51,0.03
WO-2024-M12-00005,2023-12-31,P-M12-EH-001,檢測與包裝,檢測-M3,1166.48,1160.65,5.83,5.7,70,0.005
