PO_Number,Ref_WorkOrderID,ProductID,SupplierName,ProcessName,DispatchDate,InputWeight_kg,OutputWeight_kg,SupplierScope1_kgCO2e,SupplierScope2_kgCO2e,ProcessingFee_NTD
PO-2024-EXT-00001,WO-2024-CS-00001,P-CS-BS-003,高裕熱處理股份有限公司,熱處理,2024-01-02,3790.2,3771.25,2480.73,8305.05,23347
PO-2024-EXT-00010,WO-2024-M12-00005,P-M12-EH-001,精斌企業股份有限公司,表面處理,2024-01-02,1227,1232.77,1908.7,2985.4,4282
PO-2024-EXT-00016,WO-2024-M10-00008,P-M10-BN-002,高裕熱處理股份有限公司,表面處理,2024-01-02,634.2,636.8,811.54,1442.73,3348
PO-2024-EXT-00023,WO-2024-M12-00012,P-M12-EH-001,允成表面處理股份有限公司,熱處理,2024-01-02,1144.6,1138.88,1099.82,2692.65,8527
PO-2024-EXT-00025,WO-2024-CS-00013,P-CS-BS-003,允成表面處理股份有限公司,熱處理,2024-01-02,10838.2,10784.01,10633.03,20640.6,86163
PO-2024-EXT-00026,WO-2024-CS-00013,P-CS-BS-003,允成表面處理股份有限公司,表面處理,2024-01-02,10838.2,10863.13,13557.19,21204.83,64920
PO-2024-EXT-00009,WO-2024-M12-00005,P-M12-EH-001,高裕熱處理股份有限公司,熱處理,2024-01-03,1227,1220.87,964,2478.85,11055
PO-2024-EXT-00012,WO-2024-M12-00006,P-M12-EH-001,允成表面處理股份有限公司,表面處理,2024-01-03,2254.8,2267.43,2215.73,5697.6,12130
PO-2024-EXT-00020,WO-2024-CS-00010,P-CS-BS-003,精斌企業股份有限公司,表面處理,2024-01-03,8182.4,8206.95,5739.12,21590.02,28883
PO-2024-EXT-00031,WO-2024-M12-00016,P-M12-EH-001,允成表面處理股份有限公司,熱處理,2024-01-03,2075.9,2065.52,1617.3,3959.6,10026
PO-2024-EXT-00032,WO-2024-M12-00016,P-M12-EH-001,允成表面處理股份有限公司,表面處理,2024-01-03,2075.9,2082.13,2303.46,3922.11,9985
PO-2024-EXT-00033,WO-2024-M12-00017,P-M12-EH-001,高裕熱處理股份有限公司,熱處理,2024-01-03,3228.2,3212.06,3343.76,7802.09,11427
PO-2024-EXT-00044,WO-2024-M10-00022,P-M10-BN-002,高裕熱處理股份有限公司,表面處理,2024-01-03,506.6,508.47,413.23,1117.26,4351
PO-2024-EXT-00048,WO-2024-M10-00024,P-M10-BN-002,允成表面處理股份有限公司,表面處理,2024-01-03,349.1,350.6,309.54,836.92,3159
PO-2024-EXT-00053,WO-2024-M10-00027,P-M10-BN-002,精斌企業股份有限公司,熱處理,2024-01-03,688.9,685.46,553.51,1660.53,3444
PO-2024-EXT-00054,WO-2024-M10-00027,P-M10-BN-002,允成表面處理股份有限公司,表面處理,2024-01-03,688.9,691.52,912.81,1853.27,4450
PO-2024-EXT-00056,WO-2024-CS-00028,P-CS-BS-003,精斌企業股份有限公司,表面處理,2024-01-03,10125.1,10176.74,11886.43,17829.65,50220
PO-2024-EXT-00067,WO-2024-M10-00034,P-M10-BN-002,精斌企業股份有限公司,熱處理,2024-01-03,240.5,239.3,263.71,430.26,1084
PO-2024-EXT-00070,WO-2024-M10-00035,P-M10-BN-002,允成表面處理股份有限公司,表面處理,2024-01-03,819.4,824.4,851.77,2190.27,2671
PO-2024-EXT-00014,WO-2024-M12-00007,P-M12-EH-001,精斌企業股份有限公司,表面處理,2024-01-04,1818.4,1830.4,2634.13,4120.05,13728
PO-2024-EXT-00017,WO-2024-M10-00009,P-M10-BN-002,精斌企業股份有限公司,熱處理,2024-01-04,516.2,513.62,499.23,887.54,3726
PO-2024-EXT-00036,WO-2024-M10-00018,P-M10-BN-002,高裕熱處理股份有限公司,表面處理,2024-01-04,208.4,209.53,166.41,589.99,1504
PO-2024-EXT-00039,WO-2024-CS-00020,P-CS-BS-003,高裕熱處理股份有限公司,熱處理,2024-01-04,11252.4,11196.14,13659.29,20488.94,47710
PO-2024-EXT-00043,WO-2024-M10-00022,P-M10-BN-002,允成表面處理股份有限公司,熱處理,2024-01-04,506.6,504.07,733.92,1100.89,2811
PO-2024-EXT-00047,WO-2024-M10-00024,P-M10-BN-002,允成表面處理股份有限公司,熱處理,2024-01-04,349.1,347.35,336.93,1010.79,2342
PO-2024-EXT-00063,WO-2024-CS-00032,P-CS-BS-003,允成表面處理股份有限公司,熱處理,2024-01-04,13783.6,13714.68,12310.29,38982.61,47691
PO-2024-EXT-00064,WO-2024-CS-00032,P-CS-BS-003,允成表面處理股份有限公司,表面處理,2024-01-04,13783.6,13871.82,18271.96,31111.72,113990
PO-2024-EXT-00071,WO-2024-CS-00036,P-CS-BS-003,允成表面處理股份有限公司,熱處理,2024-01-04,12415.9,12353.82,11345.74,24109.72,54381
PO-2024-EXT-00076,WO-2024-CS-00038,P-CS-BS-003,允成表面處理股份有限公司,表面處理,2024-01-04,11219.8,11268.05,9951.94,33317.37,59577
PO-2024-EXT-00078,WO-2024-M10-00039,P-M10-BN-002,允成表面處理股份有限公司,表面處理,2024-01-04,535.2,537.93,345.57,1225.19,5255
PO-2024-EXT-00083,WO-2024-M10-00042,P-M10-BN-002,精斌企業股份有限公司,熱處理,2024-01-04,562.7,559.89,401.78,1143.52,3860
PO-2024-EXT-00086,WO-2024-M10-00043,P-M10-BN-002,允成表面處理股份有限公司,表面處理,2024-01-04,180.2,181.46,199.28,325.14,1259
PO-2024-EXT-00002,WO-2024-CS-00001,P-CS-BS-003,高裕熱處理股份有限公司,表面處理,2024-01-05,3790.2,3800.43,2272.66,9090.63,24598
PO-2024-EXT-00005,WO-2024-CS-00003,P-CS-BS-003,精斌企業股份有限公司,熱處理,2024-01-05,3839.3,3820.1,5928.8,8893.19,29178
PO-2024-EXT-00011,WO-2024-M12-00006,P-M12-EH-001,精斌企業股份有限公司,熱處理,2024-01-05,2254.8,2243.53,1750.62,4733.18,10056
PO-2024-EXT-00021,WO-2024-M10-00011,P-M10-BN-002,精斌企業股份有限公司,熱處理,2024-01-05,471.2,468.84,366.82,1161.6,3991
PO-2024-EXT-00022,WO-2024-M10-00011,P-M10-BN-002,高裕熱處理股份有限公司,表面處理,2024-01-05,471.2,473.93,551.09,1069.75,3312
PO-2024-EXT-00030,WO-2024-M10-00015,P-M10-BN-002,精斌企業股份有限公司,表面處理,2024-01-05,289.7,291.21,271.17,576.25,1190
PO-2024-EXT-00035,WO-2024-M10-00018,P-M10-BN-002,允成表面處理股份有限公司,熱處理,2024-01-05,208.4,207.36,115.39,434.11,1854
PO-2024-EXT-00038,WO-2024-M10-00019,P-M10-BN-002,精斌企業股份有限公司,表面處理,2024-01-05,577.2,580.78,548.14,1560.09,3780
PO-2024-EXT-00051,WO-2024-M12-00026,P-M12-EH-001,高裕熱處理股份有限公司,熱處理,2024-01-05,2225.7,2214.57,1934.64,6126.39,8257
PO-2024-EXT-00052,WO-2024-M12-00026,P-M12-EH-001,允成表面處理股份有限公司,表面處理,2024-01-05,2225.7,2230.15,2673.5,4752.9,8279
PO-2024-EXT-00055,WO-2024-CS-00028,P-CS-BS-003,允成表面處理股份有限公司,熱處理,2024-01-05,10125.1,10074.47,12020.86,19612.98,101149
PO-2024-EXT-00059,WO-2024-M10-00030,P-M10-BN-002,允成表面處理股份有限公司,熱處理,2024-01-05,425,422.88,298.01,805.71,1462
PO-2024-EXT-00061,WO-2024-M10-00031,P-M10-BN-002,精斌企業股份有限公司,熱處理,2024-01-05,442.9,440.69,618.72,967.76,3184
PO-2024-EXT-00066,WO-2024-M10-00033,P-M10-BN-002,高裕熱處理股份有限公司,表面處理,2024-01-05,570.7,574.64,479.76,1606.18,5290
PO-2024-EXT-00089,WO-2024-CS-00045,P-CS-BS-003,高裕熱處理股份有限公司,熱處理,2024-01-05,13799,13730,9745.55,27737.35,45950
PO-2024-EXT-00092,WO-2024-M12-00046,P-M12-EH-001,高裕熱處理股份有限公司,表面處理,2024-01-05,1642.2,1647.95,1297.59,2888.2,16241
PO-2024-EXT-00094,WO-2024-CS-00047,P-CS-BS-003,高裕熱處理股份有限公司,表面處理,2024-01-05,5393,5410.26,5661.3,12030.25,45678
PO-2024-EXT-00095,WO-2024-M10-00048,P-M10-BN-002,精斌企業股份有限公司,熱處理,2024-01-05,389.2,387.25,463.66,725.2,3740
PO-2024-EXT-00099,WO-2024-M12-00050,P-M12-EH-001,精斌企業股份有限公司,熱處理,2024-01-05,2645.8,2632.57,3061.15,4994.51,22330
PO-2024-EXT-00100,WO-2024-M12-00050,P-M12-EH-001,精斌企業股份有限公司,表面處理,2024-01-05,2645.8,2660.62,1964.6,5591.56,26325
PO-2024-EXT-00103,WO-2024-M10-00052,P-M10-BN-002,高裕熱處理股份有限公司,熱處理,2024-01-05,585.3,582.37,499.67,1422.15,2973
PO-2024-EXT-00108,WO-2024-CS-00054,P-CS-BS-003,允成表面處理股份有限公司,表面處理,2024-01-05,13637.1,13683.47,16841.61,32692.55,50048
PO-2024-EXT-00123,WO-2024-M10-00062,P-M10-BN-002,允成表面處理股份有限公司,熱處理,2024-01-05,383,381.08,355.85,871.23,3818
PO-2024-EXT-00004,WO-2024-M12-00002,P-M12-EH-001,精斌企業股份有限公司,表面處理,2024-01-06,818.5,823.82,614.73,1749.63,7382
PO-2024-EXT-00018,WO-2024-M10-00009,P-M10-BN-002,允成表面處理股份有限公司,表面處理,2024-01-06,516.2,517.44,589.47,1252.62,2524
PO-2024-EXT-00019,WO-2024-CS-00010,P-CS-BS-003,高裕熱處理股份有限公司,熱處理,2024-01-06,8182.4,8141.49,8060.08,14329.02,59486
PO-2024-EXT-00028,WO-2024-CS-00014,P-CS-BS-003,精斌企業股份有限公司,表面處理,2024-01-06,13569.1,13660.01,18342.66,32609.18,67302
PO-2024-EXT-00034,WO-2024-M12-00017,P-M12-EH-001,允成表面處理股份有限公司,表面處理,2024-01-06,3228.2,3246.6,2699.87,5481.56,23081
PO-2024-EXT-00049,WO-2024-CS-00025,P-CS-BS-003,精斌企業股份有限公司,熱處理,2024-01-06,13070.8,13005.45,9728.07,38912.31,119205
PO-2024-EXT-00058,WO-2024-M10-00029,P-M10-BN-002,精斌企業股份有限公司,表面處理,2024-01-06,593.8,597.9,631.62,1030.54,3295
PO-2024-EXT-00060,WO-2024-M10-00030,P-M10-BN-002,高裕熱處理股份有限公司,表面處理,2024-01-06,425,426.1,537.61,915.39,3931
PO-2024-EXT-00069,WO-2024-M10-00035,P-M10-BN-002,高裕熱處理股份有限公司,熱處理,2024-01-06,819.4,815.3,523.83,1571.49,2900
PO-2024-EXT-00073,WO-2024-M12-00037,P-M12-EH-001,允成表面處理股份有限公司,熱處理,2024-01-06,2407.3,2395.26,2300.17,4670.04,15382
PO-2024-EXT-00074,WO-2024-M12-00037,P-M12-EH-001,高裕熱處理股份有限公司,表面處理,2024-01-06,2407.3,2419.82,2363.68,4798.99,17284
PO-2024-EXT-00075,WO-2024-CS-00038,P-CS-BS-003,精斌企業股份有限公司,熱處理,2024-01-06,11219.8,11163.7,12800.3,20020.98,84148
PO-2024-EXT-00081,WO-2024-CS-00041,P-CS-BS-003,高裕熱處理股份有限公司,熱處理,2024-01-06,8242.4,8201.19,5394.74,19126.82,62724
PO-2024-EXT-00087,WO-2024-CS-00044,P-CS-BS-003,允成表面處理股份有限公司,熱處理,2024-01-06,11677.3,11618.91,14347.03,25505.83,84310
PO-2024-EXT-00093,WO-2024-CS-00047,P-CS-BS-003,允成表面處理股份有限公司,熱處理,2024-01-06,5393,5366.03,6268.6,12727.15,31495
PO-2024-EXT-00097,WO-2024-M12-00049,P-M12-EH-001,允成表面處理股份有限公司,熱處理,2024-01-06,2791.8,2777.84,2425.05,5658.46,18453
PO-2024-EXT-00142,WO-2024-M10-00071,P-M10-BN-002,允成表面處理股份有限公司,表面處理,2024-01-06,586.1,589.97,761.59,1191.21,2414
PO-2024-EXT-00143,WO-2024-M12-00072,P-M12-EH-001,精斌企業股份有限公司,熱處理,2024-01-06,2484,2471.58,2911.77,5911.77,12345
PO-2024-EXT-00146,WO-2024-CS-00073,P-CS-BS-003,高裕熱處理股份有限公司,表面處理,2024-01-06,9191.5,9252.16,6062.02,22804.72,68568
PO-2024-EXT-00148,WO-2024-CS-00074,P-CS-BS-003,高裕熱處理股份有限公司,表面處理,2024-01-06,8909.9,8935.74,10615.66,24769.87,48113
PO-2024-EXT-00151,WO-2024-M10-00076,P-M10-BN-002,高裕熱處理股份有限公司,熱處理,2024-01-06,851.9,847.64,627.25,1881.76,7403
PO-2024-EXT-00152,WO-2024-M10-00076,P-M10-BN-002,精斌企業股份有限公司,表面處理,2024-01-06,851.9,855.73,634.44,2249.37,7258
PO-2024-EXT-00153,WO-2024-M10-00077,P-M10-BN-002,精斌企業股份有限公司,熱處理,2024-01-06,734,730.33,589.75,1769.22,3266
PO-2024-EXT-00164,WO-2024-M10-00082,P-M10-BN-002,精斌企業股份有限公司,表面處理,2024-01-06,650.5,652.52,408.35,1536.16,3818
PO-2024-EXT-00166,WO-2024-CS-00083,P-CS-BS-003,精斌企業股份有限公司,表面處理,2024-01-06,13211.6,13253.88,14302.26,29037.93,79005
PO-2024-EXT-00003,WO-2024-M12-00002,P-M12-EH-001,高裕熱處理股份有限公司,熱處理,2024-01-07,818.5,814.41,903.02,1605.36,5991
PO-2024-EXT-00006,WO-2024-CS-00003,P-CS-BS-003,允成表面處理股份有限公司,表面處理,2024-01-07,3839.3,3861.18,3032.57,11408.24,32288
